author_id,id_paper,review_text,decision
2136419,101981808,"Magnam temporibus vitae quibusdam laudantium ipsa incidunt rerum, et ad iure adipisci debitis illo reiciendis eius, quia fuga perspiciatis enim quis ratione?",reject
144352362,101981808,"Est obcaecati expedita animi atque accusamus rem odio molestiae, quaerat voluptates dicta numquam aspernatur neque saepe vitae, voluptatibus atque modi fuga voluptatem deserunt?",accept
84528446,101981808,"Blanditiis itaque ducimus neque ratione unde expedita, autem reiciendis a quisquam praesentium facere, reprehenderit repellat ipsam fugiat ad laborum ducimus magni.",accept
15899867,145852445,"Dolorem odio voluptas omnis molestias necessitatibus, ab ipsa quis delectus sapiente velit amet nemo beatae vitae itaque, voluptas atque totam suscipit culpa autem adipisci impedit maiores sed perspiciatis sit, dolore sed cum harum fugiat aspernatur error a et?",accept
46208664,145852445,"Ullam fugiat temporibus voluptatum saepe inventore voluptas libero omnis magni illum doloribus, quasi beatae distinctio optio consequuntur nostrum cumque accusantium amet totam, sed asperiores fugiat perferendis odio earum magnam saepe quia temporibus incidunt animi?",reject
145123910,145852445,"Esse sapiente possimus obcaecati eaque illo, non eligendi placeat, reiciendis quas aperiam at praesentium quibusdam, cupiditate distinctio recusandae accusamus sint quidem temporibus neque omnis.",accept
15067434,186291484,"Ex reiciendis at, in minima enim, eius ratione unde, ipsum officiis ex sit inventore minima qui quia recusandae excepturi et, delectus ut eligendi possimus sint non rem autem illo.",accept
151308598,186291484,"Veniam nostrum inventore praesentium minus quo hic nisi et esse quas illum, culpa quasi adipisci corrupti?",accept
2237799846,186291484,"Sed dignissimos distinctio, impedit atque fugit voluptate consequuntur consectetur quibusdam voluptatem vero necessitatibus in ad, molestiae facilis nisi nam sint nemo ratione, adipisci itaque repudiandae vero ipsum impedit quidem commodi, ullam quos eveniet delectus?",reject
80977018,129450515,"Mollitia accusantium recusandae itaque neque consequuntur ad rem vel voluptatem iure, nobis exercitationem dolore illum similique illo atque voluptatum debitis odit nemo nostrum, saepe molestiae alias sequi sed perferendis aut quis nulla rem magnam dicta, aut laborum debitis expedita rem, officiis explicabo reiciendis ab possimus optio et aliquid cum fugiat.",reject
40587150,129450515,"Ipsum labore facilis pariatur, nulla ducimus sunt eos omnis saepe quod expedita nostrum dolores voluptates, repellat quisquam dolor, ea porro dolore molestiae ullam id dicta quas?",reject
2160926012,129450515,"Sunt alias odit quas, sed repellendus voluptate quae iusto similique dolor perspiciatis earum, dolorem cum consequuntur atque, dolorem possimus iure aliquid doloremque tempora mollitia temporibus a ullam illo nemo, vel necessitatibus consequuntur eos quis cumque nostrum quo amet?",reject
1803900427,121058446,"Odit quo vitae corrupti, ratione exercitationem iure earum tenetur repudiandae officia odit, aut molestiae vitae architecto veniam earum, dolor distinctio numquam nostrum, at alias ducimus nemo saepe sed quam.",reject
49451227,121058446,"Ipsa doloribus facere a illo beatae molestiae nesciunt tenetur aliquid vero, cupiditate doloribus quaerat eum rerum neque corporis, consectetur praesentium corporis repudiandae explicabo ratione numquam ea porro distinctio soluta magnam, beatae rem sunt nobis.",accept
145632931,121058446,"Porro pariatur eveniet quod, dolor voluptatum aliquid facere ad nihil sed ea ab dolore, ut voluptates voluptatem atque quam quod, earum similique dolore facere maiores eveniet illum sunt ea quam blanditiis est?",accept
1478493866,247869760,"Nesciunt minima culpa porro nisi corrupti dolore, mollitia sunt alias quasi voluptas nemo porro modi voluptatem repellendus vero, dolorum aut aliquam adipisci doloribus repellendus error architecto ratione consequuntur, accusamus nulla at saepe hic, quas perferendis non.",accept
39885442,247869760,"Iusto tempore est voluptates quo blanditiis explicabo distinctio inventore, officiis necessitatibus odit quibusdam veniam voluptatum fugit in cupiditate laudantium dicta minus.",accept
2243827400,247869760,"Impedit debitis ipsum error nostrum blanditiis deleniti, explicabo sapiente odio nulla vel quam culpa maiores, ratione neque veniam voluptate molestias quasi eos tenetur iure architecto labore, saepe reprehenderit tempora eum tempore nesciunt.",accept
1398019483,168414984,"Blanditiis quasi non similique adipisci reiciendis rerum necessitatibus sequi consectetur, laudantium debitis necessitatibus excepturi aperiam optio harum ipsam nostrum?",accept
6426322,168414984,"Nobis officia fuga nihil atque modi corrupti ducimus iusto vero nam quasi, voluptatum veniam rerum nisi modi architecto libero minima.",reject
